id,typ,herkunft,modell,variante,hit@1,hit@3,hit@5,rang_erste_erwartete,rang_alle_erwarteten,rang_veraltet,rang_aktuell,veraltet_vor_aktuell,veraltet_in_top3,top1_score,top3_distinct_artikel,top3_woerter
1,einfach,mensch,e5-base,sections,1,1,1,1,1,65,44,0,0,0.8677,1,176
2,veraltet,mensch,e5-base,sections,0,1,1,2,2,1,2,1,1,0.886,3,164
3,veraltet,mensch,e5-base,sections,0,1,1,2,2,1,2,1,1,0.8971,2,190
4,einfach,mensch,e5-base,sections,0,0,1,4,4,27,20,0,0,0.8565,2,210
5,einfach,mensch_korrigiert,e5-base,sections,1,1,1,1,6,2,6,1,1,0.8835,3,130
6,einfach,mensch,e5-base,sections,0,1,1,2,2,4,1,0,0,0.8868,2,167
7,luecke,mensch_korrigiert,e5-base,sections,,,,,,25,12,0,0,0.8091,3,125
8,luecke,mensch_korrigiert,e5-base,sections,,,,,,55,32,0,0,0.8435,3,182
9,einfach,mensch_korrigiert,e5-base,sections,0,1,1,2,4,40,17,0,0,0.8452,2,194
10,mehrquellen,mensch_korrigiert,e5-base,sections,0,0,0,3,9,2,4,1,1,0.8532,3,227
11,einfach,entwurf,e5-base,sections,1,1,1,1,1,45,49,1,0,0.8702,2,263
12,einfach,entwurf,e5-base,sections,1,1,1,1,1,72,67,0,0,0.8855,3,220
13,einfach,entwurf,e5-base,sections,1,1,1,1,2,66,13,0,0,0.8558,2,159
14,einfach,entwurf,e5-base,sections,0,1,1,3,3,60,51,0,0,0.8542,3,129
15,einfach,entwurf,e5-base,sections,1,1,1,1,1,65,39,0,0,0.8823,1,86
16,einfach,entwurf,e5-base,sections,1,1,1,1,1,14,8,0,0,0.866,2,104
17,mehrquellen,entwurf,e5-base,sections,0,1,1,1,3,45,40,0,0,0.8706,3,223
18,einfach,entwurf,e5-base,sections,0,1,1,2,2,44,10,0,0,0.8741,2,171
19,mehrquellen,entwurf,e5-base,sections,0,0,1,1,5,30,12,0,0,0.8698,1,162
20,aehnlich,entwurf,e5-base,sections,0,1,1,2,2,5,1,0,0,0.8794,3,253
21,aehnlich,entwurf,e5-base,sections,0,0,1,4,4,58,38,0,0,0.8658,2,157
22,aehnlich,entwurf,e5-base,sections,0,0,1,4,4,28,42,1,0,0.8688,2,230
23,aehnlich,entwurf,e5-base,sections,0,1,1,2,2,3,1,0,1,0.8743,3,269
24,luecke,entwurf,e5-base,sections,,,,,,18,5,0,0,0.8308,3,65
25,luecke,entwurf,e5-base,sections,,,,,,45,25,0,0,0.8397,3,104
26,veraltet,entwurf,e5-base,sections,0,0,0,7,7,6,7,1,0,0.8616,2,116
27,mehrquellen,entwurf,e5-base,sections,0,0,0,1,8,9,15,1,0,0.8501,2,152
1,einfach,mensch,e5-base,articles,1,1,1,1,1,19,14,0,0,0.8582,3,670
2,veraltet,mensch,e5-base,articles,0,1,1,2,2,1,2,1,1,0.8607,3,725
3,veraltet,mensch,e5-base,articles,0,1,1,2,2,1,2,1,1,0.8487,3,723
4,einfach,mensch,e5-base,articles,0,1,1,2,2,7,9,1,0,0.8391,3,684
5,einfach,mensch_korrigiert,e5-base,articles,1,1,1,1,2,3,2,0,1,0.85,3,725
6,einfach,mensch,e5-base,articles,0,1,1,2,2,6,1,0,0,0.8708,3,726
7,luecke,mensch_korrigiert,e5-base,articles,,,,,,5,3,0,0,0.7925,3,733
8,luecke,mensch_korrigiert,e5-base,articles,,,,,,12,11,0,0,0.8218,3,716
